,Date,股票代码,Open,Close,High,Low,Volume,成交额,振幅,Change,Amount,Turnover,Adj Close
497,2023-09-07,601728,5.47,5.5,5.57,5.44,1216109,713040926.0,2.37,0.36,0.02,0.62,5.5
498,2023-09-08,601728,5.49,5.56,5.59,5.42,1392467,817906820.0,3.09,1.09,0.06,0.71,5.56
499,2023-09-11,601728,5.57,5.56,5.6,5.5,1205378,710233407.0,1.8,0.0,0.0,0.62,5.56
500,2023-09-12,601728,5.53,5.65,5.67,5.51,1710641,1018073236.0,2.88,1.62,0.09,0.87,5.65
501,2023-09-13,601728,5.64,5.67,5.71,5.59,1925983,1155477832.0,2.12,0.35,0.02,0.98,5.67
502,2023-09-14,601728,5.65,5.85,5.89,5.63,2565531,1581675938.0,4.59,3.17,0.18,1.31,5.85
503,2023-09-15,601728,5.84,5.79,5.91,5.77,1778058,1097063428.0,2.39,-1.03,-0.06,0.91,5.79
504,2023-09-18,601728,5.76,5.66,5.77,5.63,1547867,931969326.0,2.42,-2.25,-0.13,0.79,5.66
505,2023-09-19,601728,5.64,5.68,5.72,5.63,889427,536468220.0,1.59,0.35,0.02,0.45,5.68
506,2023-09-20,601728,5.66,5.6,5.71,5.6,981965,587881994.0,1.94,-1.41,-0.08,0.5,5.6
507,2023-09-21,601728,5.58,5.65,5.67,5.56,960051,573219629.0,1.96,0.89,0.05,0.49,5.65
508,2023-09-22,601728,5.63,5.69,5.7,5.6,1118220,670412152.0,1.77,0.71,0.04,0.57,5.69
509,2023-09-25,601728,5.67,5.63,5.68,5.59,729748,435689950.0,1.58,-1.05,-0.06,0.37,5.63
510,2023-09-26,601728,5.62,5.48,5.63,5.45,1545782,906324216.0,3.2,-2.66,-0.15,0.79,5.48
511,2023-09-27,601728,5.47,5.51,5.53,5.46,989052,577997632.0,1.28,0.55,0.03,0.5,5.51
512,2023-09-28,601728,5.52,5.44,5.53,5.42,1379111,799315457.0,2.0,-1.27,-0.07,0.7,5.44
513,2023-10-09,601728,5.43,5.51,5.55,5.37,1722730,1003471834.0,3.31,1.29,0.07,0.88,5.51
514,2023-10-10,601728,5.5,5.48,5.54,5.44,944656,550318284.0,1.81,-0.54,-0.03,0.48,5.48
515,2023-10-11,601728,5.46,5.44,5.52,5.43,785795,456900126.0,1.64,-0.73,-0.04,0.4,5.44
516,2023-10-12,601728,5.48,5.55,5.62,5.44,1675518,987111929.0,3.31,2.02,0.11,0.86,5.55
517,2023-10-13,601728,5.5,5.55,5.59,5.46,1068291,629453198.0,2.34,0.0,0.0,0.55,5.55
518,2023-10-16,601728,5.55,5.6,5.63,5.5,1261295,748808394.0,2.34,0.9,0.05,0.64,5.6
519,2023-10-17,601728,5.59,5.76,5.83,5.58,1937417,1179285999.0,4.46,2.86,0.16,0.99,5.76
520,2023-10-18,601728,5.72,5.77,5.79,5.68,1365081,833297255.0,1.91,0.17,0.01,0.7,5.77
521,2023-10-19,601728,5.74,5.62,5.79,5.61,1055535,636345560.0,3.12,-2.6,-0.15,0.54,5.62
522,2023-10-20,601728,5.6,5.39,5.61,5.36,1677057,971955906.0,4.45,-4.09,-0.23,0.86,5.39
523,2023-10-23,601728,5.39,5.33,5.43,5.26,1172629,667327899.0,3.15,-1.11,-0.06,0.6,5.33
524,2023-10-24,601728,5.34,5.24,5.36,5.18,1667256,934081510.0,3.38,-1.69,-0.09,0.85,5.24
525,2023-10-25,601728,5.26,5.05,5.28,5.0,2675487,1459072872.0,5.34,-3.63,-0.19,1.37,5.05
526,2023-10-26,601728,5.01,5.07,5.08,4.96,1279930,688954578.0,2.38,0.4,0.02,0.65,5.07
527,2023-10-27,601728,5.03,5.07,5.1,5.02,1364565,738523299.0,1.58,0.0,0.0,0.7,5.07
528,2023-10-30,601728,5.06,4.96,5.07,4.85,2100098,1111411410.0,4.34,-2.17,-0.11,1.07,4.96
529,2023-10-31,601728,4.93,4.98,5.03,4.91,1462716,779674162.0,2.42,0.4,0.02,0.75,4.98
530,2023-11-01,601728,4.98,4.97,4.99,4.92,985192,522594515.0,1.41,-0.2,-0.01,0.5,4.97
531,2023-11-02,601728,4.97,4.98,5.03,4.97,880022,470192381.0,1.21,0.2,0.01,0.45,4.98
532,2023-11-03,601728,4.97,4.99,5.01,4.95,995549,530628875.0,1.2,0.2,0.01,0.51,4.99
533,2023-11-06,601728,5.0,4.93,5.02,4.88,2450988,1290100682.0,2.81,-1.2,-0.06,1.25,4.93
534,2023-11-07,601728,4.92,4.91,4.93,4.87,1457559,764885625.0,1.22,-0.41,-0.02,0.74,4.91
535,2023-11-08,601728,4.89,4.89,4.9,4.86,1239790,648816482.0,0.81,-0.41,-0.02,0.63,4.89
536,2023-11-09,601728,4.89,4.91,4.92,4.88,1070003,561742189.0,0.82,0.41,0.02,0.55,4.91
537,2023-11-10,601728,4.9,4.88,4.92,4.85,996772,521624613.0,1.43,-0.61,-0.03,0.51,4.88
538,2023-11-13,601728,4.9,4.93,4.93,4.86,1221079,641790471.0,1.43,1.02,0.05,0.62,4.93
539,2023-11-14,601728,4.92,4.92,4.95,4.9,914756,481688290.0,1.01,-0.2,-0.01,0.47,4.92
540,2023-11-15,601728,4.94,4.89,4.95,4.88,1117751,586796957.0,1.42,-0.61,-0.03,0.57,4.89
541,2023-11-16,601728,4.89,4.78,4.89,4.77,1974881,1019034782.0,2.45,-2.25,-0.11,1.01,4.78
542,2023-11-17,601728,4.75,4.71,4.75,4.64,2357690,1184230768.0,2.3,-1.46,-0.07,1.2,4.71
543,2023-11-20,601728,4.69,4.71,4.73,4.65,1149525,581113815.0,1.7,0.0,0.0,0.59,4.71
544,2023-11-21,601728,4.71,4.71,4.75,4.7,1152587,585096563.0,1.06,0.0,0.0,0.59,4.71
545,2023-11-22,601728,4.71,4.82,4.9,4.7,2470641,1277838575.0,4.25,2.34,0.11,1.26,4.82
546,2023-11-23,601728,4.81,4.83,4.84,4.77,961240,495490397.0,1.45,0.21,0.01,0.49,4.83
547,2023-11-24,601728,4.83,4.81,4.86,4.8,873077,451864431.0,1.24,-0.41,-0.02,0.45,4.81
548,2023-11-27,601728,4.81,4.75,4.82,4.7,879094,447900266.0,2.49,-1.25,-0.06,0.45,4.75
